MeetingID,MeetingName,SubjectID,Date,TeacherID,TranslatorID,LanguageID,UnitPrice
1,Wprowadzenie do filozofii,1,2024-03-01 01:54:16.000,16,,2,719.1900
2,Podstawy włókiennictwa,1,2024-10-01 08:30:18.000,9,23,15,239.2500
3,Historia kościoła i architektury sakralnej,2,2024-10-31 01:30:30.000,48,,2,215.4900
4,Struktury i organizacje,2,2024-02-23 12:55:33.000,3,,2,156.3200
5,Medycyna weterynaryjna podstawowa,3,2024-01-01 20:03:27.000,2,,2,952.7300
6,Kartografia Morza Śródziemnego,3,2024-02-04 01:17:29.000,47,,2,974.0100
7,Regulacje prawne w biznesie,4,2024-07-24 04:36:55.000,22,,2,656.6400
8,Podstawy ekonomii handlowej,4,2024-09-22 17:40:21.000,42,,2,798.4400
9,Współczesne systemy walutowe,5,2024-08-19 00:53:39.000,26,,2,938.2300
10,Definicje i pojęcia podstawowe,5,2024-11-30 16:30:07.000,10,,2,382.4700
11,Etyka w biznesie,6,2024-11-13 10:07:46.000,27,,2,877.2800
12,Architektura współczesna,6,2024-07-31 01:25:57.000,22,,2,599.4300
13,Sztuka i estetyka,7,2024-12-22 00:05:37.000,22,,2,791.4200
14,Zarządzanie usługami,7,2024-01-19 20:49:45.000,27,,2,559.1000
15,Marketing i sprzedaż,8,2024-06-06 04:24:14.000,3,,2,124.7200
16,Muzyka współczesna,8,2024-09-18 10:19:31.000,24,,2,694.8700
17,Zachowania społeczne zwierząt,9,2024-09-20 01:42:26.000,38,8,20,198.3100
18,Seminarium wiosenne,9,2024-01-07 14:38:50.000,15,,2,973.6000
19,Nauki przyrodnicze,10,2024-09-26 18:27:57.000,15,,2,549.4000
20,Metodologia badań,10,2024-01-24 19:14:59.000,32,,2,938.5200
21,Podstawy oceanografii,11,2024-09-25 03:48:41.000,47,,2,350.7100
22,Transport lotniczy,11,2024-09-14 07:15:35.000,12,,2,546.9400
23,Zarządzanie czasem,12,2024-08-08 11:15:35.000,44,,2,185.3900
24,Prawo kanoniczne,12,2024-05-21 02:47:30.000,6,,2,541.2400
25,Architektura zamków średniowiecznych,13,2024-11-09 06:19:44.000,11,,2,958.0300
